pair,strategy,leverage,days,candles,num_trades,win_rate,total_return_pct,final_equity,max_drawdown_pct,profit_factor,avg_return_pct,bb_rsi_buy,bb_rsi_short
ADA/USDT,BB_Grid_PP_1x,1,179,17280,382,64.9,-7.25,927.49,-9.01,0.86,0.01,33.0,67.0
ADA/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,489,59.9,-5.92,940.76,-7.4,0.96,0.08,33.0,67.0
ADA/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,435,62.5,-5.59,944.09,-7.31,0.95,0.07,33.0,67.0
ATOM/USDT,BB_Grid_PP_2x,2,179,17280,551,88.2,592.12,6921.21,-5.65,15.01,1.86,38.0,62.0
ATOM/USDT,BB_Grid_PP_SL2%_2x,2,179,17280,618,81.7,609.43,7094.31,-4.73,7.16,1.69,38.0,62.0
ATOM/USDT,BB_Grid_PP_SL3%_2x,2,179,17280,590,84.9,581.14,6811.37,-5.68,7.05,1.73,38.0,62.0
ATOM/USDT,RSI_MR_PP_2x,2,179,17280,400,86.5,359.95,4599.55,-5.79,8.97,2.02,,
ATOM/USDT,RSI_MR_PP_SL2%_2x,2,179,17280,537,71.5,393.21,4932.12,-4.73,4.09,1.6,,
AVAX/USDT,BB_Grid_PP_1x,1,179,17280,461,65.1,-5.36,946.36,-7.46,0.97,0.08,33.0,67.0
AVAX/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,570,60.5,-5.43,945.74,-6.95,1.0,0.1,33.0,67.0
AVAX/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,516,62.8,-6.27,937.26,-7.99,0.96,0.08,33.0,67.0
BTC/USDT,BB_Grid_PP_1x,1,179,17280,176,58.0,-2.21,977.94,-2.63,0.94,0.07,30.0,70.0
BTC/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,202,56.9,-2.89,971.05,-3.27,0.91,0.06,30.0,70.0
BTC/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,186,59.7,-2.38,976.2,-2.7,0.94,0.07,30.0,70.0
DOGE/USDT,BB_Grid_PP_1x,1,179,17280,360,60.8,-8.89,911.07,-10.81,0.79,-0.06,33.0,67.0
DOGE/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,464,54.3,-9.86,901.41,-11.35,0.82,-0.02,33.0,67.0
DOGE/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,418,58.6,-8.19,918.12,-9.89,0.85,-0.0,33.0,67.0
DOT/USDT,BB_Grid_PP_2x,2,179,17280,521,75.8,92.7,1927.02,-7.05,2.51,0.74,35.0,65.0
DOT/USDT,BB_Grid_PP_SL2%_2x,2,179,17280,633,67.6,94.69,1946.87,-4.83,2.18,0.63,35.0,65.0
DOT/USDT,BB_Grid_PP_SL3%_2x,2,179,17280,585,71.3,94.0,1939.99,-5.3,2.26,0.67,35.0,65.0
ETH/USDT,BB_Grid_PP_1x,1,179,17280,220,62.3,-2.51,974.93,-3.32,0.97,0.09,30.0,70.0
ETH/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,271,57.2,-4.2,957.95,-4.81,0.91,0.04,30.0,70.0
ETH/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,247,59.5,-3.76,962.43,-4.47,0.92,0.05,30.0,70.0
FIL/USDT,BB_Grid_PP_2x,2,179,17280,473,71.0,309.65,4096.47,-16.76,3.66,1.61,35.0,65.0
FIL/USDT,BB_Grid_PP_SL2%_2x,2,179,17280,596,62.4,407.36,5073.58,-7.63,3.46,1.48,35.0,65.0
FIL/USDT,BB_Grid_PP_SL3%_2x,2,179,17280,565,65.5,351.7,4516.99,-9.22,2.94,1.45,35.0,65.0
FIL/USDT,RSI_MR_PP_2x,2,179,17280,347,77.2,190.82,2908.18,-46.52,3.02,1.69,,
FIL/USDT,RSI_MR_PP_SL2%_2x,2,179,17280,565,57.9,386.63,4866.3,-9.05,2.74,1.52,,
LINK/USDT,BB_Grid_PP_1x,1,179,17280,414,63.3,-7.51,924.87,-8.43,0.86,0.01,33.0,67.0
LINK/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,511,59.3,-6.26,937.41,-7.01,0.96,0.07,33.0,67.0
LINK/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,461,59.9,-8.44,915.59,-9.35,0.86,0.01,33.0,67.0
LTC/USDT,BB_Grid_PP_1x,1,179,17280,311,73.6,13.5,1135.01,-3.44,2.18,0.61,33.0,67.0
LTC/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,372,66.7,11.13,1111.28,-3.26,1.73,0.49,33.0,67.0
LTC/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,347,71.2,12.97,1129.68,-3.23,1.93,0.55,33.0,67.0
SHIB/USDT,BB_Grid_PP_1x,1,179,17280,444,71.4,12.39,1123.88,-3.24,1.82,0.46,33.0,67.0
SHIB/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,532,66.7,16.3,1163.0,-2.77,1.8,0.49,33.0,67.0
SHIB/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,494,69.0,14.01,1140.13,-2.92,1.72,0.47,33.0,67.0
SOL/USDT,BB_Grid_PP_1x,1,179,17280,329,63.5,-3.57,964.3,-5.63,0.98,0.09,33.0,67.0
SOL/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,407,59.5,-3.31,966.86,-5.35,1.03,0.12,33.0,67.0
SOL/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,372,61.8,-3.99,960.1,-5.63,0.98,0.09,33.0,67.0
UNI/USDT,BB_Grid_PP_1x,1,179,17280,472,65.5,21.86,1218.61,-6.01,1.84,0.62,33.0,67.0
UNI/USDT,BB_Grid_PP_SL2%_1x,1,179,17280,598,60.2,40.52,1405.2,-4.89,2.09,0.78,33.0,67.0
UNI/USDT,BB_Grid_PP_SL3%_1x,1,179,17280,548,63.0,36.41,1364.09,-5.27,2.02,0.77,33.0,67.0
XRP/USDT,BB_Grid_PP_1x,1,179,17280,227,59.9,-7.41,925.95,-8.06,0.66,-0.14,30.0,70.0
